天津频道,#genre#
古早影院,http://114.241.254.251:4022/rtp/239.3.1.88:4120
足球,http://114.241.254.251:4022/rtp/239.3.1.89:4120
武侠剧场,http://114.241.254.251:4022/rtp/239.3.1.90:4120
喜剧影院,http://114.241.254.251:4022/rtp/239.3.1.91:4120
动作影院,http://114.241.254.251:4022/rtp/239.3.1.92:4120
家庭影院,http://114.241.254.251:4022/rtp/239.3.1.93:4120
星影,http://114.241.254.251:4022/rtp/239.3.1.94:4120
北京卫视,http://114.254.32.220:8888/rtp/239.3.1.241:8000
北京文艺,http://114.254.32.220:8888/rtp/239.3.1.242:8000
北京体育休闲,http://114.254.32.220:8888/rtp/239.3.1.243:8000
北京影视,http://114.254.32.220:8888/rtp/239.3.1.158:8000
北京财经,http://114.254.32.220:8888/rtp/239.3.1.116:8000
北京生活,http://114.254.32.220:8888/rtp/239.3.1.117:8000
北京新闻,http://114.254.32.220:8888/rtp/239.3.1.159:8000
卡酷少儿,http://114.254.32.220:8888/rtp/239.3.1.189:8000
北京纪实科教,http://114.254.32.220:8888/rtp/239.3.1.115:8000
北京国际,http://114.254.32.220:8888/rtp/239.3.1.235:8000
CCTV-1综合,http://114.254.32.220:8888/rtp/239.3.1.129:8008
CCTV-2财经,http://114.254.32.220:8888/rtp/239.3.1.60:8084
CCTV-3综艺,http://114.254.32.220:8888/rtp/239.3.1.172:8001
CCTV-4中文国际,http://114.254.32.220:8888/rtp/239.3.1.105:8092
CCTV-4欧洲,http://114.254.32.220:8888/rtp/239.3.1.213:4220
CCTV-4美洲,http://114.254.32.220:8888/rtp/239.3.1.214:4220
CCTV-5体育,http://114.254.32.220:8888/rtp/239.3.1.173:8001
CCTV-5+体育赛事,http://114.254.32.220:8888/rtp/239.3.1.130:8004
CCTV-6电影,http://114.254.32.220:8888/rtp/239.3.1.174:8001
CCTV-7国防军事,http://114.254.32.220:8888/rtp/239.3.1.61:8104
CCTV-8电视剧,http://114.254.32.220:8888/rtp/239.3.1.175:8001
